date,weekday,month,n,total_delay,avg_dep_delay,var,std,sme,day
2017-12-01,5,12,15693,12389,0.789460268909705,0.001841571551428262,0.04291353576004035,3.425636767750704e-4,1
2017-12-02,6,12,12094,-21937,-1.8138746485860757,0.005264380713379184,0.0725560522174352,6.597640728565372e-4,2
2017-12-03,7,12,14747,20658,1.4008272869058114,0.0015393174912763825,0.039234136810644665,3.230816275605257e-4,3
2017-12-04,1,12,15412,57151,3.7082143784064368,3.9172910463146447e-4,0.01979214754975984,1.5942756748860937e-4,4
2017-12-05,2,12,14846,45010,3.0317930755759126,6.613863097084367e-4,0.025717432020099455,2.1106823204667736e-4,5
2017-12-06,3,12,15187,2192,0.14433396984262856,0.002387053204988802,0.0488574784960174,3.964560531176833e-4,6
2017-12-07,4,12,15586,77672,4.98344668292057,8.96192571829103e-5,0.009466744803939223,7.582865171437922e-5,7
2017-12-08,5,12,14381,182734,12.706626799249008,0.0029753701875969464,0.05454695397175672,4.5485812883027077e-4,8
2017-12-09,6,12,11409,159000,13.93636602682093,0.005293126473252883,0.07275387600157728,6.811336644999602e-4,9
2017-12-10,7,12,14678,60303,4.108393514102739,2.882486617601287e-4,0.016977887435135407,1.401361584983067e-4,10
2017-12-11,1,12,15500,72394,4.67058064516129,1.4414335279026657e-4,0.012005971547120482,9.64342840890061e-5,11
2017-12-12,2,12,14856,55409,3.7297388260635436,3.99301085221369e-4,0.01998251949132964,1.639454242378393e-4,12
2017-12-13,3,12,15058,100902,6.700889892415992,1.9049251351435054e-5,0.0043645448046085,3.556766130130877e-5,13
2017-12-14,4,12,15588,147734,9.477418527072107,7.037496359461442e-4,0.026528279928147325,2.1247796244105869e-4,14
2017-12-15,5,12,15790,215905,13.673527549081697,0.00357018999382909,0.05975106688444224,4.7550446488542195e-4,15
2017-12-16,6,12,12485,66377,5.31653984781738,5.7702382756989986e-5,0.007596208446125605,6.798335608518253e-5,16
2017-12-17,7,12,13819,60632,4.38758231420508,2.28694045035216e-4,0.015122633535043293,1.2864387686054016e-4,17
2017-12-18,1,12,15487,131082,8.464002066249112,3.411878218836089e-4,0.018471270175156037,1.4842706900679458e-4,18
2017-12-19,2,12,15528,149021,9.596921689850593,7.583684138543113e-4,0.027538489679979027,2.2099495371649333e-4,19
2017-12-20,3,12,15867,174413,10.99218503812945,0.0014683747940769942,0.03831937883208696,3.042082932872356e-4,20
2017-12-21,4,12,15997,145020,9.065449771832219,5.257735084114173e-4,0.022929751599426833,1.8129260006822119e-4,21
2017-12-22,5,12,16101,153650,9.542885535059934,7.085275856677504e-4,0.026618181486866274,2.0977414362580274e-4,22
2017-12-23,6,12,14769,229891,15.565779673640733,0.005983397086502161,0.07735242133574205,6.364999407610434e-4,23
2017-12-24,7,12,12662,142893,11.285184015163482,0.002070217102717418,0.04549963848996405,4.0434938924519014e-4,24
2017-12-25,1,12,12737,154630,12.140221402214022,0.002802821840669762,0.052941683394748244,4.690986381151871e-4,25
2017-12-26,2,12,15847,247535,15.620306682652869,0.00564125219480573,0.07510826981635065,5.966425591034254e-4,26
2017-12-27,3,12,15850,254124,16.03305993690852,0.006143372138068386,0.07837966661110767,6.225708446919643e-4,27
2017-12-28,4,12,15790,212748,13.47359088030399,0.003382580081241083,0.05815995255535447,4.6284223127062097e-4,28
2017-12-29,5,12,15791,221235,14.010195681084161,0.0038972958779143435,0.0624283259259316,4.96794606582438e-4,29
2017-12-30,6,12,14705,262799,17.871404284257057,0.009318775615851375,0.09653380555976945,7.960620357508449e-4,30
2017-12-31,7,12,12894,194773,15.105708081278113,0.006199060122706964,0.07873411028713644,6.933764567036783e-4,31
