date,weekday,month,n,total_delay,avg_dep_delay,var,std,sme,day
2017-10-01,7,10,15274,49603,3.2475448474531885,5.573762891019462e-4,0.023608818036952764,1.9102836199343302e-4,1
2017-10-02,1,10,16240,57807,3.5595443349753695,4.1810501090273715e-4,0.02044761626456094,1.6045367694368935e-4,2
2017-10-03,2,10,15470,51627,3.337233354880414,5.170025273132717e-4,0.022737689577291526,1.8281051672013385e-4,3
2017-10-04,3,10,15803,31253,1.9776624691514268,0.001109688603414586,0.033311988884102764,2.6499079791112183e-4,4
2017-10-05,4,10,16338,61603,3.770534949198188,3.5101954679496987e-4,0.01873551565329788,1.465771269030907e-4,5
2017-10-06,5,10,16260,104262,6.412177121771218,3.7479928893614945e-6,0.0019359733700031864,1.518235382720378e-5,6
2017-10-07,6,10,12498,33367,2.6697871659465515,9.776519607006021e-4,0.031267426512276354,2.7968674048602446e-4,7
2017-10-08,7,10,15175,115207,7.591894563426688,1.3411121395571037e-4,0.011580639617728823,9.400873244716994e-5,8
2017-10-09,1,10,16045,266040,16.5808663134933,0.006761219734881175,0.082226636407439,6.491464172609794e-4,9
2017-10-10,2,10,15660,57784,3.689910600255428,3.912906979676715e-4,0.019781069181610773,1.580716122787648e-4,10
2017-10-11,3,10,15760,103133,6.543972081218274,9.097932763149862e-6,0.0030162779651666492,2.4026651819631327e-5,11
2017-10-12,4,10,16139,137871,8.542722597434786,3.502125855376418e-4,0.01871396765888094,1.4730841742945048e-4,12
2017-10-13,5,10,16158,127579,7.8957172917440275,1.853139191549034e-4,0.013613005515127929,1.0709278643415912e-4,13
2017-10-14,6,10,12377,123436,9.973014462309122,0.0011714145327475528,0.034225933628574005,3.0764340419877495e-4,14
2017-10-15,7,10,15421,117959,7.649244536670774,1.4279590359427826e-4,0.011949723996573238,9.622803243174177e-5,15
2017-10-16,1,10,16298,71059,4.359982819977912,1.999762930116442e-4,0.014141297430280017,1.1076998579966698e-4,16
2017-10-17,2,10,15683,44207,2.818784671300134,7.141009683492861e-4,0.026722667687738177,0.00021338566455657401,17
2017-10-18,3,10,15924,55833,3.5062170308967597,4.4403330274176133e-4,0.021072097729978412,1.669866250718491e-4,18
2017-10-19,4,10,16179,117290,7.249520983991594,7.265646923241004e-5,0.00852387642052664,6.701334665002225e-5,19
2017-10-20,5,10,16273,111323,6.840963559269956,2.8052907512473232e-5,0.005296499552768152,4.151978803718256e-5,20
2017-10-21,6,10,12578,16491,1.311098743838448,0.0018733810468715335,0.04328257209168066,3.859288682383874e-4,21
2017-10-22,7,10,15433,115911,7.510594181299812,1.17267155881579e-4,0.010828996069884734,8.716919152199362e-5,22
2017-10-23,1,10,16224,152555,9.403044871794872,6.461362077648076e-4,0.025419209424464947,1.9956439985539866e-4,23
2017-10-24,2,10,15098,165420,10.95641806861836,0.0015203799771905304,0.03899205017937029,3.173338203786909e-4,24
2017-10-25,3,10,15590,56054,3.595509942270686,4.235973614747111e-4,0.020581481032100463,1.6483656871521475e-4,25
2017-10-26,4,10,16280,107486,6.602334152334152,1.1731469238568423e-5,0.0034251232442889445,2.684410956961106e-5,26
2017-10-27,5,10,16270,95858,5.891702519975415,4.601239958317042e-6,0.0021450501062485797,1.6816811835615805e-5,27
2017-10-28,6,10,12545,35033,2.7925866879234755,9.067577806418358e-4,0.030112419043342165,2.6885016824371535e-4,28
2017-10-29,7,10,14690,137723,9.375289312457454,7.014264148986595e-4,0.026484456099732528,2.1851444955184275e-4,29
2017-10-30,1,10,15401,114612,7.441854425037335,1.0580874222395993e-4,0.010286337648743597,8.288697983874106e-5,30
2017-10-31,2,10,14286,-8356,-0.5849083018339634,0.003189519444114149,0.05647583061907234,4.7250597440675116e-4,31
